gene_id,Co, 8h,16h,24h,48h,72h,96h,114h
gene137,3.648052923,9.365449497,4.210325155,11.22821753,0.224644875,6.006094358,2.784479914,3.689645276
gene138,9.882541927,1.054408745,0.326540555,3.034115251,2.355000006,1.095052373,0.738273806,0.291548787
gene139,0,0.081123605,0.713752302,0,0.137834257,55.18322258,152.3644248,77.88584509
gene140,11.38522953,2.159935152,2.82876771,615.1271431,946.2491221,0.909139632,1.415740137,1.729688957
gene141,3.241671409,2.597906856,1.230653384,13.6776412,2.806148774,0.024917816,0.179467907,0.333806242
gene142,0.195958108,0.765595339,0.226892636,2.612244856,0.250028264,1.987486281,3.445717078,3.628867362
gene143,24.40815845,18.53678573,7.892613968,1.435545891,0.819150903,34.75180449,7.936016987,10.79144024
gene144,0.529569308,0.062363771,0,16.60520256,44.87470981,19.24132701,47.94415346,84.4972934
gene145,31.90404903,24.54928891,12.46848016,2.571889596,1.270447277,0.937212218,0.313743067,0.486746464
gene146,3.425031672,9.097244739,25.27843484,0.232270721,0,0.424489619,0.232434223,0.094338637
gene147,2.604083052,7.061955915,5.303421386,0.030063122,0,11.11613969,5.934328136,2.622893323
gene148,9.761571312,6.754287299,4.191708157,67.94901871,178.9063594,33.28792561,68.40282406,83.44141287
gene149,51.65650356,22.54022463,18.66603905,0.119291611,0.071646927,248.9163791,72.83255902,90.71355894
gene150,7.809920651,27.83185198,29.11560342,38.0341326,5.312941584,8.34422405,67.46858993,42.80848199
gene151,0.672380838,1.338083285,1.802707774,3.046521024,1.419062293,27.22272145,73.13190057,51.29307287
gene152,1.988597451,1.627996354,4.685128201,11.97417686,3.33062788,1.319693196,13.61359443,3.826874686
gene153,9.607437648,16.69114997,26.00022077,27.61199799,24.72530032,7.535170946,27.87794534,52.36836447
gene154,1198.323789,1627.166161,486.5048996,5.265789038,4.072560659,0.053334706,0.171125348,0.20184173
gene155,7.366239309,16.17519702,8.520788658,61.89797837,74.19032125,14.08801537,20.29120569,30.07653839
gene156,46.30377654,20.27560358,9.552200614,16.05875735,39.03234872,3.283266431,6.757174023,10.63360405
gene157,1.876517705,0.457694008,0.540199967,0.756064572,3.332438711,3.845756344,9.148494482,7.596944751
gene158,10.50712414,8.33095879,4.565941847,2.190167999,0.751712981,6.855085312,4.639802156,2.288588597
