geneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
TE1G52240,340.6955184,0.904292638,0.139002809,6.505570943,7.74E-11,2.09E-10
TE3G23030,92.26251968,1.564071764,0.240437748,6.505100708,7.76E-11,2.10E-10
TE3G08500,58.68510621,2.047446254,0.314804427,6.503867421,7.83E-11,2.11E-10
TE4G01300,97.6462694,-1.658514214,0.255041496,-6.502919084,7.88E-11,2.13E-10
TE2G18530,34.08197353,2.92070413,0.449263954,6.501087179,7.97E-11,2.15E-10
TE4G21870,1037.359785,0.703742719,0.108293787,6.498458834,8.11E-11,2.19E-10
TE4G36490,449.614824,-0.786825953,0.12119893,-6.492020605,8.47E-11,2.29E-10
TE4G26410,2068.243518,-0.742439627,0.114433526,-6.487955515,8.70E-11,2.35E-10
TE4G34950,221.6188663,-1.039348657,0.160196922,-6.487943977,8.70E-11,2.35E-10
TE1G20280,2323.274898,-0.433999484,0.06694694,-6.482738212,9.01E-11,2.43E-10
TE4G32030,116.4902599,1.406558152,0.216978499,6.482477091,9.02E-11,2.43E-10
TE4G19680,586.1699643,0.693024978,0.106929495,6.481139559,9.10E-11,2.45E-10
TE1G35450,25.26993943,4.884690602,0.753708381,6.480876058,9.12E-11,2.46E-10
TE1G43850,2750.013628,0.44198703,0.06826308,6.47475959,9.50E-11,2.56E-10
TE1G36090,36.71915733,-2.882675863,0.445252489,-6.474249859,9.53E-11,2.57E-10
TE4G01640,116.1719054,-1.569584497,0.242591329,-6.470076667,9.80E-11,2.64E-10
TE1G13050,152.4112429,1.17715369,0.181948577,6.469705412,9.82E-11,2.64E-10
TE2G13250,340.6758758,-0.865913386,0.133850453,-6.469260019,9.85E-11,2.65E-10
TE4G13230,277.4577724,0.975799949,0.150876608,6.467536349,9.96E-11,2.68E-10
TE2G09060,110.285123,1.497509317,0.231551919,6.467272319,9.98E-11,2.69E-10
TE3G03690,26.25967568,4.949236558,0.765300821,6.467047237,9.99E-11,2.69E-10
TE4G26030,1172.947784,0.581463038,0.089942282,6.464846383,1.01E-10,2.73E-10
TE2G19740,1755.040046,-0.475957219,0.073633564,-6.463862315,1.02E-10,2.75E-10
TE2G12730,361.8003699,0.830749188,0.128583719,6.460764956,1.04E-10,2.80E-10
TE2G30500,45.640597,2.380088434,0.368405308,6.460516129,1.04E-10,2.81E-10
TE2G29530,547.0094082,-0.721773406,0.111722204,-6.460429331,1.04E-10,2.81E-10
TE4G30550,1523.532183,-0.533471867,0.082628907,-6.45623773,1.07E-10,2.88E-10
TE4G34480,110.9203163,1.377166427,0.213371248,6.454320532,1.09E-10,2.92E-10
TE1G32820,109.0926975,1.647073428,0.255190883,6.454280066,1.09E-10,2.92E-10
TE3G15340,97.3894346,1.594156317,0.247036863,6.453111086,1.10E-10,2.94E-10
TE2G29040,26.49787163,3.749017091,0.580971476,6.453014035,1.10E-10,2.94E-10
TE1G01330,29.92581912,3.345420746,0.519009056,6.445784918,1.15E-10,3.09E-10
TE4G11160,771.0736349,-0.582200123,0.09032266,-6.4457814,1.15E-10,3.09E-10
TE3G28560,35.15268285,3.035190662,0.471536308,6.436812199,1.22E-10,3.27E-10
TE1G36990,43.42858447,2.462894175,0.382899906,6.432214107,1.26E-10,3.37E-10
TE1G34940,6949.392979,-0.376546451,0.058556488,-6.430482108,1.27E-10,3.41E-10
TE3G08910,73.82537433,1.863725037,0.2898977,6.428905919,1.29E-10,3.45E-10
TE1G15070,1066.972585,0.657378486,0.102304047,6.425732942,1.31E-10,3.52E-10
TE2G05250,1358.54116,0.52403376,0.081554367,6.425575694,1.31E-10,3.52E-10
TE1G29090,233.5386492,1.146707081,0.178582797,6.421150855,1.35E-10,3.63E-10
TE4G10760,276.3726674,-1.027789418,0.160064432,-6.421098106,1.35E-10,3.63E-10
